(.venv) andre@Mac MLproject % python3 -m scripts.run_monk

🚀 Avvio Grid Search...
Config 86/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1013
Config 87/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0605
Config 88/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1139
Config 89/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0663
Config 90/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0115
Config 91/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2655
Config 92/864 | Val Accuracy: 0.6250 | Tr MSE: 0.2410
Config 93/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1364
Config 94/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2486
Config 95/864 | Val Accuracy: 0.7083 | Tr MSE: 0.2030
Config 96/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1257
Config 97/864 | Val Accuracy: 0.7500 | Tr MSE: 0.2364
Config 98/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2328
Config 99/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1319
Config 100/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2567
Config 101/864 | Val Accuracy: 0.6250 | Tr MSE: 0.2400
Config 102/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1619
Config 103/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2511
Config 104/864 | Val Accuracy: 0.8333 | Tr MSE: 0.2266
Config 105/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1614
Config 106/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2507
Config 107/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2355
Config 108/864 | Val Accuracy: 0.7083 | Tr MSE: 0.1879
Config 109/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3878
Config 110/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2689
Config 111/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2489
Config 112/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3727
Config 113/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2880
Config 114/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2496
Config 115/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3260
Config 116/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3646
Config 117/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2644
Config 118/864 | Val Accuracy: 0.6250 | Tr MSE: 0.2441
Config 119/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2445
Config 120/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2189
Config 121/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2651
Config 122/864 | Val Accuracy: 0.7083 | Tr MSE: 0.2257
Config 123/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1685
Config 124/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2541
Config 125/864 | Val Accuracy: 0.6250 | Tr MSE: 0.2364
Config 126/864 | Val Accuracy: 0.7500 | Tr MSE: 0.1671
Config 127/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2783
Config 128/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2711
Config 129/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2556
Config 130/864 | Val Accuracy: 0.5000 | Tr MSE: 0.4077
Config 131/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3769
Config 132/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3631
Config 133/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2653
Config 134/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2784
Config 135/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2567
Config 136/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2813
Config 137/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3113
Config 138/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2502
Config 139/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2490
Config 140/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3904
Config 141/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2525
Config 142/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2637
Config 143/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3118
Config 144/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2871
Config 145/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1347
Config 146/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1218
Config 147/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1051
Config 148/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1510
Config 149/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1328
